30260000	0.956346	0.292238	1.118	0.296566
30264000	0.955608	0.294641	1.119	0.29908
30268000	0.954865	0.297042	1.12	0.301593
30272000	0.954115	0.29944	1.121	0.304106
30276000	0.953359	0.301838	1.122	0.306619
30280000	0.952598	0.304233	1.123	0.309133
30284000	0.95183	0.306626	1.124	0.311646
30288000	0.951057	0.309017	1.125	0.314159
30292000	0.950277	0.311406	1.126	0.316673
30296000	0.949491	0.313794	1.127	0.319186
30300000	0.9487	0.316179	1.128	0.321699
30304000	0.947902	0.318562	1.129	0.324212
30308000	0.947098	0.320944	1.13	0.326726
30312000	0.946289	0.323323	1.131	0.329239
30316000	0.945473	0.3257	1.132	0.331752
30320000	0.944652	0.328075	1.133	0.334265
30324000	0.943824	0.330449	1.134	0.336779
30328000	0.942991	0.33282	1.135	0.339292
30332000	0.942151	0.335189	1.136	0.341805
30336000	0.941306	0.337555	1.137	0.344319
30340000	0.940454	0.33992	1.138	0.346832
30344000	0.939597	0.342283	1.139	0.349345
30348000	0.938734	0.344643	1.14	0.351858
30352000	0.937865	0.347001	1.141	0.354372
30356000	0.93699	0.349357	1.142	0.356885
30360000	0.936109	0.351711	1.143	0.359398
30364000	0.935222	0.354063	1.144	0.361911
30368000	0.934329	0.356412	1.145	0.364425
30372000	0.93343	0.358759	1.146	0.366938
30376000	0.932526	0.361104	1.147	0.369451
30380000	0.931615	0.363446	1.148	0.371965
30384000	0.930699	0.365787	1.149	0.374478
30388000	0.929776	0.368125	1.15	0.376991
30392000	0.928848	0.37046	1.151	0.379504
30396000	0.927914	0.372793	1.152	0.382018
30400000	0.926974	0.375124	1.153	0.384531
30404000	0.926029	0.377453	1.154	0.387044
30408000	0.925077	0.379779	1.155	0.389558
30412000	0.92412	0.382103	1.156	0.392071
30416000	0.923157	0.384424	1.157	0.394584
30420000	0.922187	0.386743	1.158	0.397097
30424000	0.921213	0.38906	1.159	0.399611
30428000	0.920232	0.391374	1.16	0.402124
30432000	0.919245	0.393685	1.161	0.404637
30436000	0.918253	0.395994	1.162	0.40715
30440000	0.917255	0.398301	1.163	0.409664
30444000	0.916251	0.400605	1.164	0.412177
30448000	0.915241	0.402906	1.165	0.41469
30452000	0.914226	0.405205	1.166	0.417203
30456000	0.913204	0.407502	1.167	0.419717
30460000	0.912177	0.409796	1.168	0.42223
30464000	0.911145	0.412087	1.169	0.424743
30468000	0.910106	0.414376	1.17	0.427257
30472000	0.909062	0.416662	1.171	0.42977
30476000	0.908012	0.418945	1.172	0.432283
30480000	0.906956	0.421226	1.173	0.434796
30484000	0.905894	0.423504	1.174	0.43731
30488000	0.904827	0.425779	1.175	0.439823
30492000	0.903754	0.428052	1.176	0.442336
30496000	0.902675	0.430322	1.177	0.44485
30500000	0.901591	0.432589	1.178	0.447363
30504000	0.900501	0.434854	1.179	0.449876
30508000	0.899405	0.437116	1.18	0.452389
30512000	0.898304	0.439375	1.181	0.454903
30516000	0.897197	0.441631	1.182	0.457416
30520000	0.896084	0.443885	1.183	0.459929
30524000	0.894966	0.446135	1.184	0.462442
30528000	0.893841	0.448383	1.185	0.464956
30532000	0.892712	0.450628	1.186	0.467469
30536000	0.891576	0.45287	1.187	0.469982
30540000	0.890435	0.45511	1.188	0.472496
30544000	0.889289	0.457346	1.189	0.475009
30548000	0.888136	0.45958	1.19	0.477522
30552000	0.886979	0.461811	1.191	0.480035
30556000	0.885815	0.464038	1.192	0.482549
30560000	0.884646	0.466263	1.193	0.485062
30564000	0.883471	0.468485	1.194	0.487575
30568000	0.882291	0.470704	1.195	0.490088
30572000	0.881105	0.47292	1.196	0.492602
30576000	0.879914	0.475133	1.197	0.495115
